names,coefficient,coicop,EUR_A_073,micro_macro_ref,EUR_A_0111,EUR_A_0112,EUR_A_0113,EUR_A_0114,EUR_A_0115,EUR_A_0116,EUR_A_0117,EUR_A_0118,EUR_A_0119,EUR_A_012,EUR_A_021,EUR_A_022,EUR_A_023,EUR_A_031,EUR_A_032,EUR_A_041,EUR_A_042,EUR_A_043,EUR_A_044,EUR_A_045,EUR_A_051,EUR_A_052,EUR_A_053,EUR_A_054,EUR_A_055,EUR_A_056,EUR_A_061,EUR_A_062,EUR_A_063,EUR_A_071,EUR_A_072,EUR_A_073_T,EUR_A_073_A,EUR_A_073_M,EUR_A_081,EUR_A_082,EUR_A_083,EUR_A_091,EUR_A_092,EUR_A_093,EUR_A_094,EUR_A_095,EUR_A_096,EUR_A_101_105,EUR_A_111,EUR_A_112,EUR_A_121,EUR_A_122,EUR_A_123,EUR_A_124,EUR_A_125,EUR_A_126_128
Alcoholic beverages,2.228027029,EUR_A_021,,EUR_A_021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR_10512,,,,,,,,
Tabacco,2.132490134,EUR_A_022,,EUR_A_022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narcotics,723.8554813,EUR_A_023,,EUR_A_023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Articles of clothing,1.124939532,EUR_A_031,,EUR_A_031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footwear,1.107175911,EUR_A_032,,EUR_A_032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real rentals,1.234013045,EUR_A_041,,EUR_A_041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputed rents,0.837665693,EUR_A_042,,EUR_A_042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current expenses of maintenance and repair of the housing,1.16212886,EUR_A_043,,EUR_A_043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other services related to housing,1.022658648,EUR_A_044,,EUR_A_044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electricity, gas and other fuels",1.077602683,EUR_A_045,,EUR_A_045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Furniture, furnishing articles, carpets and other floor coverings and their repairs",1.85129977,EUR_A_051,,EUR_A_051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textile articles for the home and their repairs,1.172103516,EUR_A_052,,EUR_A_052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heating and applicances, refrigerators, washing machines and other large domestic applicances; accesories and their repairs",1.145500273,EUR_A_053,,EUR_A_053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glassware, crockery, cutlery, other household utensils and their repairs",1.140770006,EUR_A_054,,EUR_A_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for home and garden,1.822341872,EUR_A_055,,EUR_A_055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goods and services for the current maintenance of the home,1.361013628,EUR_A_056,,EUR_A_056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medicines and other pharmaceutical products, devices and therapeutic material",1.498872678,EUR_A_061,,EUR_A_061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out-of-hospital medical and paramedical services,1.17984629,EUR_A_062,,EUR_A_062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital services,6.73861082,EUR_A_063,,EUR_A_063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase of vehicles,1.196989777,EUR_A_071,,EUR_A_071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of personal vehicles,1.29250871,EUR_A_072,,EUR_A_072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrestrial public transport,1.840531132,EUR_A_073_T,,EUR_A_073_T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air transport,1.840531132,EUR_A_073_A,,EUR_A_073_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maritim transport,1.840531132,EUR_A_073_M,,EUR_A_073_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postal services,1.015924775,EUR_A_081,,EUR_A_081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telephone and fax equipment,1.183824903,EUR_A_082,,EUR_A_082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Telephone, telegraph and fax services",1.057459962,EUR_A_083,,EUR_A_083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audiovisual, photographic and information processing equipment and accessories including their repairs",1.392517898,EUR_A_091,,EUR_A_091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other important durable goods for leisure and culture,1.224738965,EUR_A_092,,EUR_A_092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other recreational items and equipment, flowers, gardening, and pets",1.244570711,EUR_A_093,,EUR_A_093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreational and cultural services,2.116963833,EUR_A_094,,EUR_A_094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Press, bookstore and stationery",1.189373043,EUR_A_095,,EUR_A_095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All-include vacations,1.362338831,EUR_A_096,,EUR_A_096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1.511564504,EUR_A_101_105,,EUR_A_101_105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food and drinks outside the home,1.857999116,EUR_A_111,,EUR_A_111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accommodation services,2.677574048,EUR_A_112,,EUR_A_112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal care,1.162354722,EUR_A_121,,EUR_A_121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal effects not previously declared,1.410148584,EUR_A_122,,EUR_A_122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social protection,4.509091325,EUR_A_123,,EUR_A_123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insurance services,0.553162439,EUR_A_124,,EUR_A_124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial services not declared elsewhere,2531.662729,EUR_A_125,,EUR_A_125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other services not declared elsewhere,2.494298289,EUR_A_126_128,,EUR_A_126_128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
