category_a,category_b
TIPOCONTPR,DECIL
TIPOCONTPR,QUINTIL
TIPOCONTPR,CCAA
TIPOCONTPR,TAMAMU
TIPOCONTPR,ZONA
TIPOCONTPR,TIPHOGAR
TIPOCONTPR,HIJOS
TIPOCONTPR,POBREZA
TIPOCONTPR,GENEROPR
TIPOCONTPR,GRADOFEM
TIPOCONTPR,EDADPR
TIPOCONTPR,ESTUDIOSPR
TIPOCONTPR,SPROFESIONALPR
TIPOCONTPR,JORNADAPR
TIPOCONTPR,REGTEN
JORNADAPR,DECIL
JORNADAPR,QUINTIL
JORNADAPR,CCAA
JORNADAPR,TAMAMU
JORNADAPR,ZONA
JORNADAPR,TIPHOGAR
JORNADAPR,HIJOS
JORNADAPR,POBREZA
JORNADAPR,GENEROPR
JORNADAPR,GRADOFEM
JORNADAPR,EDADPR
JORNADAPR,ESTUDIOSPR
JORNADAPR,SPROFESIONALPR
JORNADAPR,TIPOCONTPR
JORNADAPR,REGTEN
REGTEN,DECIL
REGTEN,QUINTIL
REGTEN,CCAA
REGTEN,TAMAMU
REGTEN,ZONA
REGTEN,TIPHOGAR
REGTEN,HIJOS
REGTEN,POBREZA
REGTEN,GENEROPR
REGTEN,GRADOFEM
REGTEN,EDADPR
REGTEN,ESTUDIOSPR
REGTEN,SPROFESIONALPR
REGTEN,TIPOCONTPR
REGTEN,JORNADAPR
